walking            | 0.788 | 0.915 | 1.029 | 1.132 | 1.225 | 1.296 | 1.339 | 1.387 | 1.434 | 1.452 | 1.488 | 1.517 | 1.544 |
eating             | 0.746 | 0.853 | 0.956 | 1.066 | 1.182 | 1.289 | 1.342 | 1.385 | 1.405 | 1.460 | 1.533 | 1.584 | 1.600 |
smoking            | 1.172 | 1.432 | 1.691 | 1.871 | 2.036 | 2.168 | 2.279 | 2.334 | 2.396 | 2.454 | 2.537 | 2.621 | 2.634 |
discussion         | 1.170 | 1.514 | 1.741 | 1.823 | 1.835 | 1.792 | 2.020 | 2.048 | 2.142 | 2.208 | 2.276 | 2.238 | 2.248 |
directions         | 1.060 | 1.299 | 1.334 | 1.457 | 1.585 | 1.608 | 1.619 | 1.650 | 1.723 | 1.804 | 1.855 | 1.899 | 1.905 |
greeting           | 1.268 | 1.587 | 1.870 | 2.079 | 2.210 | 2.352 | 2.402 | 2.471 | 2.458 | 2.462 | 2.537 | 2.733 | 2.488 |
phoning            | 1.284 | 1.404 | 1.519 | 1.696 | 1.851 | 1.977 | 2.095 | 2.141 | 2.173 | 2.223 | 2.291 | 2.379 | 2.295 |
posing             | 1.515 | 1.691 | 1.925 | 2.195 | 2.381 | 2.497 | 2.560 | 2.636 | 2.664 | 2.740 | 2.838 | 2.938 | 2.903 |
purchases          | 1.197 | 1.391 | 1.604 | 1.774 | 1.793 | 1.899 | 2.016 | 2.068 | 2.027 | 1.991 | 2.078 | 2.284 | 2.431 |
sitting            | 1.481 | 1.685 | 1.857 | 2.023 | 2.560 | 2.605 | 2.617 | 2.639 | 2.660 | 2.680 | 2.734 | 2.772 | 2.792 |
sittingdown        | 1.799 | 2.110 | 2.288 | 2.444 | 2.607 | 2.723 | 2.865 | 3.012 | 3.142 | 3.209 | 3.273 | 3.355 | 3.387 |
takingphoto        | 1.021 | 1.265 | 1.419 | 1.562 | 1.685 | 1.745 | 1.822 | 1.895 | 1.980 | 2.074 | 2.150 | 2.232 | 2.257 |
waiting            | 1.162 | 1.388 | 1.573 | 1.688 | 1.764 | 1.842 | 1.924 | 2.059 | 2.197 | 2.325 | 2.489 | 2.639 | 2.688 |
walkingdog         | 1.037 | 1.259 | 1.494 | 1.629 | 1.741 | 1.817 | 1.899 | 1.901 | 1.961 | 2.047 | 2.051 | 2.057 | 2.081 |
walkingtogether    | 0.855 | 1.057 | 1.207 | 1.274 | 1.316 | 1.367 | 1.435 | 1.475 | 1.519 | 1.619 | 1.710 | 1.825 | 1.962 |
